12,12,68,250,250,250,250,250,230,250,250,250,56,56,56,230,250,59
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,103,9,103
321,321,321,1,321,321,321,321,1,321,321,321,321,1,321,321,321,321,1
5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3
12,12,257,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3
12,12,68,250,250,230,250,230,250,230,250,230,250,250,250,56,56,56,230,250,59
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3,9
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3,9,257
12,12,257,12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,103,9,103,9,27,27,27,11
13,13,14,9,14,56,11,14,61,13,13,14,13,13,14,9,14,56,11,14,61,13,13,14
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3,272,12,12,56,230
5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,3
12,12,257,12,12,257,5,0,5,0,5,0,3,12,12,257,12,12,257,5,0,5,0,5,0,3
41,41,21,21,41,16,3,44,21,21,41,16,3,44,21,21,41,16,3,44,21,21,41,16,3,44
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,5,0,5,0,3,9
12,12,5,0,61,13,59,9,56,10,17,12,11,3,257,5,158,21,4,0,102,107,15,108,110,39,104
12,12,257,5,0,5,0,5,0,3,12,12,257,5,0,5,0,5,0,5,0,3,272,12,12,56,230
