EID,func,API use case
12,fread,"__fread_alias (__ptr, __size, __n, __stream);"
12,fread_unlocked,"__builtin_object_size ((const void *) __ptr, 0)"
12,fread_unlocked,__builtin_constant_p (__size) == 0 || __builtin_constant_p (__n) == 0) || (__size | __n)
12,fread_unlocked,"__fread_unlocked_chk (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
12,fread_unlocked,"__builtin_object_size ((const void *) __ptr, 0)"
12,fread_unlocked,"__fread_unlocked_chk_warn (__ptr, __builtin_object_size ((const void *) __ptr, 0), __size, __n, __stream);"
12,fread_unlocked,__builtin_constant_p (__size) != 0 && __builtin_constant_p (__n) != 0) && (__size | __n) <= 4294967295)
12,fread_unlocked,getc_unlocked (__stream);
12,fread_unlocked,getc_unlocked (__stream);
12,fread_unlocked,return (size_t) ((long unsigned int) (__cptr - (char *) __ptr) / (long unsigned int) __size);
12,fread_unlocked,"__fread_unlocked_alias (__ptr, __size, __n, __stream);"
12,atoi,"return (int) strtol (__nptr, 0B, 10);"
12,atol,"strtol (__nptr, 0B, 10);"
12,atoll,"strtoll (__nptr, 0B, 10);"
12,bsearch,"__compar (__key, __p);"
12,atof,"strtod (__nptr, 0B);"
12,realpath,"__builtin_object_size ((const void *) __resolved, 1)"
12,realpath,"__realpath_chk (__name, __resolved, __builtin_object_size ((const void *) __resolved, 1));"
12,realpath,"__realpath_alias (__name, __resolved);"
12,ptsname_r,"__builtin_object_size ((const void *) __buf, 1)"
12,ptsname_r,__builtin_constant_p (__buflen)
12,ptsname_r,"__ptsname_r_chk (__fd, __buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,ptsname_r,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,ptsname_r,"__ptsname_r_chk_warn (__fd, __buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,ptsname_r,"__ptsname_r_alias (__fd, __buf, __buflen);"
12,wctomb,"__builtin_object_size ((const void *) __s, 1) != 18446744073709551615 && __builtin_object_size ((const void *) __s, 1)"
12,wctomb,"__wctomb_chk (__s, __wchar, __builtin_object_size ((const void *) __s, 1));"
12,wctomb,"__wctomb_alias (__s, __wchar);"
12,mbstowcs,"__builtin_object_size ((const void *) __dst, 1)"
12,mbstowcs,__builtin_constant_p (__len)
12,mbstowcs,"__mbstowcs_chk (__dst, __src, __len, __builtin_object_size ((const void *) __dst, 1) / 4);"
12,mbstowcs,"__builtin_object_size ((const void *) __dst, 1) / 4 < (long unsigned int)"
12,mbstowcs,"__mbstowcs_chk_warn (__dst, __src, __len, __builtin_object_size ((const void *) __dst, 1) / 4);"
12,mbstowcs,"__mbstowcs_alias (__dst, __src, __len);"
12,wcstombs,"__builtin_object_size ((const void *) __dst, 1)"
12,wcstombs,__builtin_constant_p (__len)
12,wcstombs,"__wcstombs_chk (__dst, __src, __len, __builtin_object_size ((const void *) __dst, 1));"
